"","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA"
"3993","Jean Vernet","Mariankatu 21","00170","Helsinki","Kruununhaka","","Sisustusliikkeet"
"3994","Jesper Junior","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Lastenliikkeet"
"3995","Jesper Junior","Siltakatu 11","02770","Espoo","Suvela","","Lastenliikkeet"
"3996","Jesper Junior","Mannerheimintie 20","00100","Helsinki","Kamppi","","Lastenliikkeet"
"3997","Jesper Junior","Itäkatu 1-5","00930","Helsinki","Itäkeskus","","Lastenliikkeet"
"4006","Jesper Junior","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Lastenliikkeet"
"4007","Jesper Junior","Iskoskuja 3 C 125","01600","Vantaa","Myyrmäki","","Lastenliikkeet"
"4008","Jia","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sisustusliikkeet"
"4020","JohtoCafe","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kahvilat"
"4023","Jorin Tori","Mannerheimintie 20 A","00100","Helsinki","Kluuvi","","Kukkakaupat"
"4026","Joutsen apteekki","Lapinlahdenkatu 1","00180","Helsinki","Kamppi","","Apteekit"
"4030","JR-Rauta Oy","Pakilantie 14","00630","Helsinki","Maunula","","Rautakaupat"
"4032","Juhlamaailma / Ilmapallokeskus","Koskelontie 25 C","02920","Espoo","Perusmäki","",""
"4034","Jungle Bubble","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"4042","Jysk","Espoontie 25","02740","Espoo","Karvasmäki","","Sisustusliikkeet"
"4043","Jysk","Martinsillantie 10","02270","Espoo","Eestinmalmi","","Sisustusliikkeet"
"4048","Jysk","Kastelholmantie 2","00900","Helsinki","Itäkeskus","","Sisustusliikkeet"
"4049","Jysk","Varikkotie 2","00880","Helsinki","Roihupelto","","Sisustusliikkeet"
"4102","Jysk","Riihitontuntie 1","01720","Vantaa","Varisto","","Sisustusliikkeet"
"4103","Jysk","Valimotie 18","01510","Vantaa","Pakkala","","Sisustusliikkeet"
"4104","Jysk","Porttisuontie 4","01200","Vantaa","Kuninkaala","","Sisustusliikkeet"
"4117","K-market","Louhentie 2","02130","Espoo","Pohjois-Tapiola","","Ruokakaupat"
"4118","K-market","Merivalkama 2","02320","Espoo","Kivenlahti","","Ruokakaupat"
"4119","K-market","Iivisniemenkatu 3","02260","Espoo","Iivisniemi","","Ruokakaupat"
"4120","K-market","Toppelundinportti 3","02170","Espoo","Haukilahti","","Ruokakaupat"
"4121","K-market","Lippajärventie 29-31","02940","Espoo","Lippajärvi","","Ruokakaupat"
"4122","K-market","Virastopiha 1","02770","Espoo","Kirkkojärvi","","Ruokakaupat"
"4123","K-market","Sokinsuontie 4","02760","Espoo","Suvela","","Ruokakaupat"
"4124","K-market","Martinsillantie 2 B","02270","Espoo","Eestinmalmi","","Ruokakaupat"
"4125","K-market","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Ruokakaupat"
"4143","K-market","Itämerenkatu 14","00180","Helsinki","Ruoholahti","","Ruokakaupat"
"4144","K-market","Mannerheimintie 160","00300","Helsinki","Ruskeasuo","","Ruokakaupat"
"4145","K-market","Tunnelitie 3-5","00320","Helsinki","Etelä-Haaga","","Ruokakaupat"
"4146","K-market","Vanhaistentie 3","00420","Helsinki","Kannelmäki","","Ruokakaupat"
"4147","K-market","Klaneettitie 7","00420","Helsinki","Kannelmäki","","Ruokakaupat"
"4148","K-market","Satamakatu 3","00160","Helsinki","Katajanokka","","Ruokakaupat"
"4149","K-market","Jousimiehentie 3","00740","Helsinki","Siltamäki","","Ruokakaupat"
"4150","K-market","Käpyläntie 8","00610","Helsinki","Käpylä","","Ruokakaupat"
"4151","K-market","Kaarelantie 14","00430","Helsinki","Maununneva","","Ruokakaupat"
"4152","K-market","Leikosaarentie 48","00990","Helsinki","Aurinkolahti","","Ruokakaupat"
"4153","K-market","Asemapäällikönkatu 3","00520","Helsinki","Itä-Pasila","","Ruokakaupat"
"4154","K-market","Maatullinaukio 1","00750","Helsinki","Tapulikaupunki","","Ruokakaupat"
"4155","K-market","Kirkonkyläntie 47","00780","Helsinki","Tapaninvainio","","Ruokakaupat"
"4156","K-market","Paciuksenkatu 25","00270","Helsinki","Meilahti","","Ruokakaupat"
"4157","K-market","Eskolantie 2","00720","Helsinki","Pukinmäki","","Ruokakaupat"
"4158","K-market","Hämeentie 31","00500","Helsinki","Sörnäinen","","Ruokakaupat"
"4159","K-market","Esterinportti 2","00240","Helsinki","Länsi-Pasila","","Ruokakaupat"
"4160","K-market","Iso Roobertinkatu 20-22","00120","Helsinki","Punavuori","","Ruokakaupat"
"4161","K-market","Haapaniemenkatu 14","00530","Helsinki","Sörnäinen","","Ruokakaupat"
"4162","K-market","Mannerheimintie 94","00270","Helsinki","Taka-Töölö","","Ruokakaupat"
"4163","K-market","Tykistönkatu 7","00260","Helsinki","Taka-Töölö","","Ruokakaupat"
"4164","K-market","Albertinkatu 15","00120","Helsinki","Punavuori","","Ruokakaupat"
"4165","K-market","Vanha Porvoontie 32","00760","Helsinki","Heikinlaakso","","Ruokakaupat"
"4166","K-market","Puistolantori 1","00760","Helsinki","Puistola","","Ruokakaupat"
"4167","K-market","Laulukuja 2","00420","Helsinki","Kannelmäki","","Ruokakaupat"
"4168","K-market","Välimerenkatu 5","00180","Helsinki","Jätkäsaari","","Ruokakaupat"
"4169","K-market","Rauhankatu 9","00170","Helsinki","Kruununhaka","","Ruokakaupat"
"4170","K-market","Siltavoudintie 19","00640","Helsinki","Patola","","Ruokakaupat"
"4171","K-market","Liisankatu 19","00170","Helsinki","Kruununhaka","","Ruokakaupat"
"4172","K-market","Aino Ackten tie 8","00400","Helsinki","Pohjois-Haaga","","Ruokakaupat"
"4173","K-market","Asematunneli 1","00100","Helsinki","Etu-Töölö","","Ruokakaupat"
"4174","K-market","Pietarinkatu 5","00140","Helsinki","Ullanlinna","","Ruokakaupat"
"4175","K-market","Kuvernöörintie 6","00840","Helsinki","Yliskylä","","Ruokakaupat"
"4176","K-market","Hietalahdenranta 6","00120","Helsinki","Punavuori","","Ruokakaupat"
"4438","K-market","Kielotie 29","01300","Vantaa","Hiekkaharju","","Ruokakaupat"
"4439","K-market","Marsinrinne 8","01480","Vantaa","Mikkola","","Ruokakaupat"
"4440","K-market","Haarikkotie 1","01350","Vantaa","Hiekkaharju","","Ruokakaupat"
"4441","K-market","Nietostie 19","01390","Vantaa","Ilola","","Ruokakaupat"
"4442","K-market","Koivumäentie 20","01230","Vantaa","Vaarala","","Ruokakaupat"
"4443","K-market","Naapurinkuja 2","01670","Vantaa","Vantaanlaakso","","Ruokakaupat"
"4444","K-market","Itäinen Valkoisenlähteentie 19","01260","Vantaa","Kuninkaanmäki","","Ruokakaupat"
"4445","K-market","Halmekuja 1","01360","Vantaa","Tapanila","","Ruokakaupat"
"4446","K-market","Uomatie 15","01600","Vantaa","Myyrmäki","","Ruokakaupat"
"4447","K-market","Tikkurilantie 46","01300","Vantaa","Tikkurila","","Ruokakaupat"
"4448","K-market","Rekolantie 53-55","01400","Vantaa","Rekola","","Ruokakaupat"
"4449","K-market","Otavantie 14","01450","Vantaa","Metsola","","Ruokakaupat"
"4469","K-Supermarket","Sinikalliontie 1","02630","Espoo","Taavinkylä","","Ruokakaupat"
"4470","K-Supermarket","Konstaapelinkatu 4","02650","Espoo","Pohjois-Leppävaara","","Ruokakaupat"
"4471","K-supermarket","Kilonpuistonkatu 14","02610","Espoo","Nuijala","","Ruokakaupat"
"4472","K-supermarket","Kylänportti 16","02940","Espoo","Järvenperä","","Ruokakaupat"
"4473","K-supermarket","Soukantie 16","02360","Espoo","Soukanmäki","","Ruokakaupat"
"4474","K-supermarket","Kamreerintie 3","02770","Espoo","Suvela","","Ruokakaupat"
"4475","K-supermarket","Malminkorpi 2","02280","Espoo","Malminmäki","","Ruokakaupat"
"4485","K-Supermarket","Hämeentie 111","00560","Helsinki","Toukola","","Ruokakaupat"
"4486","K-Supermarket","Hiihtäjäntie 2","00810","Helsinki","Länsi-Herttoniemi","","Ruokakaupat"
"4487","K-Supermarket","Keinulaudankuja 4","00940","Helsinki","Kontula","","Ruokakaupat"
"4488","K-Supermarket","Yliskyläntie 3","00840","Helsinki","Yliskylä","","Ruokakaupat"
"4489","K-Supermarket","Kiviaidankatu 2","00210","Helsinki","Lauttasaari","","Ruokakaupat"
"4490","K-Supermarket","Pallaksentie 2","00970","Helsinki","Mellunmäki","","Ruokakaupat"
"4491","K-Supermarket","Raumantie 1","00350","Helsinki","Munkkivuori","","Ruokakaupat"
"4492","K-Supermarket","Mäkitorpantie 1","00620","Helsinki","Patola","","Ruokakaupat"
"4493","K-Supermarket","Kiviparintie 2","00920","Helsinki","Myllypuro","","Ruokakaupat"
"4494","K-supermarket","Kaisaniemenkatu 5","00100","Helsinki","Kluuvi","","Ruokakaupat"
"4495","K-supermarket","Haastemiehentie 1","00690","Helsinki","Torpparinmäki","","Ruokakaupat"
"4496","K-supermarket","Eliel Saarisen tie 5","00400","Helsinki","Pohjois-Haaga","","Ruokakaupat"
"4497","K-supermarket","Urho Kekkosen katu 1 A 24","00100","Helsinki","Kamppi","","Ruokakaupat"
"4498","K-supermarket","Ajomiehentie 1","00390","Helsinki","Konala","","Ruokakaupat"
"4651","K-Supermarket","Peltolantie 1","01300","Vantaa","Viertola","","Ruokakaupat"
"4652","K-Supermarket","Paarmatie 2","01490","Vantaa","Nikinmäki","","Ruokakaupat"
"4653","K-Supermarket","Ulkoniitynkuja 4","01660","Vantaa","Varisto","","Ruokakaupat"
"4654","K-Supermarket","Ainontie 1","01630","Vantaa","Hämeenkylä","","Ruokakaupat"
"4655","K-supermarket","Lammaslammentie 9","01710","Vantaa","Hämeenkylä","","Ruokakaupat"
"4656","K-supermarket","Minkkikuja 4","01450","Vantaa","Metsola","","Ruokakaupat"
"4657","K-supermarket","Louhelantie 3","01600","Vantaa","Myyrmäki","","Ruokakaupat"
"4658","K-supermarket","Laajavuorenkuja 2","01620","Vantaa","Martinlaakso","","Ruokakaupat"
"4659","K-supermarket","Kuriiritie 23-25","01300","Vantaa","Koivuhaka","","Ruokakaupat"
"4660","K-supermarket","Laukkarinne 4","01200","Vantaa","Hakunila","","Ruokakaupat"
"4669","K-citymarket","Piispansilta 11","02230","Espoo","Matinkylä","","Ruokakaupat"
"4670","K-citymarket","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Ruokakaupat"
"4675","K-citymarket","Kauppakartanonkatu 3","00930","Helsinki","Itäkeskus","","Ruokakaupat"
"4676","K-citymarket","Malminkaari 19","00700","Helsinki","Ala-Malmi","","Ruokakaupat"
"4677","K-citymarket","Itämerenkatu 21-23","00180","Helsinki","Ruoholahti","","Ruokakaupat"
"4678","K-citymarket","Tyynylaavantie 5","00980","Helsinki","Keski-Vuosaari","","Ruokakaupat"
"4741","K-citymarket","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Ruokakaupat"
"4742","K-citymarket","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Ruokakaupat"
"4746","K-citymarket Kauppakeskus Kantsu","kantsuntie 3","01490","Vantaa","Nikinmäki","","Ruokakaupat"
"4750","K-extra","Fredrikinkatu 40","00100","Helsinki","Kamppi","","Ruokakaupat"
"4751","K-extra","Isokaari 42","00200","Helsinki","Lauttasaari","","Ruokakaupat"
"4752","K-extra","Lauttasaarentie 5","00200","Helsinki","Lauttasaari","","Ruokakaupat"
"4753","K-extra","Hirsipadontie 8","00640","Helsinki","Patola","","Ruokakaupat"
"4810","K-extra","Vantaanrinne 14","01730","Vantaa","Piispankylä","","Ruokakaupat"
"4811","K-extra","Simonkyläntie 11","01390","Vantaa","Ruskeasanta","","Ruokakaupat"
"4825","K-market","Louhentie 2","02130","Espoo","Pohjois-Tapiola","","Ruokakaupat"
"4826","K-market","Merivalkama 2","02320","Espoo","Kivenlahti","","Ruokakaupat"
"4827","K-market","Iivisniemenkatu 3","02260","Espoo","Iivisniemi","","Ruokakaupat"
"4828","K-market","Toppelundinportti 3","02170","Espoo","Haukilahti","","Ruokakaupat"
"4829","K-market","Lippajärventie 29-31","02940","Espoo","Lippajärvi","","Ruokakaupat"
"4830","K-market","Virastopiha 1","02770","Espoo","Kirkkojärvi","","Ruokakaupat"
"4831","K-market","Sokinsuontie 4","02760","Espoo","Suvela","","Ruokakaupat"
"4832","K-market","Martinsillantie 2 B","02270","Espoo","Eestinmalmi","","Ruokakaupat"
"4833","K-market","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Ruokakaupat"
"4851","K-market","Itämerenkatu 14","00180","Helsinki","Ruoholahti","","Ruokakaupat"
"4852","K-market","Mannerheimintie 160","00300","Helsinki","Ruskeasuo","","Ruokakaupat"
"4853","K-market","Tunnelitie 3-5","00320","Helsinki","Etelä-Haaga","","Ruokakaupat"
"4854","K-market","Vanhaistentie 3","00420","Helsinki","Kannelmäki","","Ruokakaupat"
"4855","K-market","Klaneettitie 7","00420","Helsinki","Kannelmäki","","Ruokakaupat"
"4856","K-market","Satamakatu 3","00160","Helsinki","Katajanokka","","Ruokakaupat"
"4857","K-market","Jousimiehentie 3","00740","Helsinki","Siltamäki","","Ruokakaupat"
"4858","K-market","Käpyläntie 8","00610","Helsinki","Käpylä","","Ruokakaupat"
"4859","K-market","Kaarelantie 14","00430","Helsinki","Maununneva","","Ruokakaupat"
"4860","K-market","Leikosaarentie 48","00990","Helsinki","Aurinkolahti","","Ruokakaupat"
"4861","K-market","Asemapäällikönkatu 3","00520","Helsinki","Itä-Pasila","","Ruokakaupat"
"4862","K-market","Maatullinaukio 1","00750","Helsinki","Tapulikaupunki","","Ruokakaupat"
"4863","K-market","Kirkonkyläntie 47","00780","Helsinki","Tapaninvainio","","Ruokakaupat"
"4864","K-market","Paciuksenkatu 25","00270","Helsinki","Meilahti","","Ruokakaupat"
"4865","K-market","Eskolantie 2","00720","Helsinki","Pukinmäki","","Ruokakaupat"
"4866","K-market","Hämeentie 31","00500","Helsinki","Sörnäinen","","Ruokakaupat"
"4867","K-market","Esterinportti 2","00240","Helsinki","Länsi-Pasila","","Ruokakaupat"
"4868","K-market","Iso Roobertinkatu 20-22","00120","Helsinki","Punavuori","","Ruokakaupat"
"4869","K-market","Haapaniemenkatu 14","00530","Helsinki","Sörnäinen","","Ruokakaupat"
"4870","K-market","Mannerheimintie 94","00270","Helsinki","Taka-Töölö","","Ruokakaupat"
"4871","K-market","Tykistönkatu 7","00260","Helsinki","Taka-Töölö","","Ruokakaupat"
"4872","K-market","Albertinkatu 15","00120","Helsinki","Punavuori","","Ruokakaupat"
"4873","K-market","Vanha Porvoontie 32","00760","Helsinki","Heikinlaakso","","Ruokakaupat"
"4874","K-market","Puistolantori 1","00760","Helsinki","Puistola","","Ruokakaupat"
"4875","K-market","Laulukuja 2","00420","Helsinki","Kannelmäki","","Ruokakaupat"
"4876","K-market","Välimerenkatu 5","00180","Helsinki","Jätkäsaari","","Ruokakaupat"
"4877","K-market","Rauhankatu 9","00170","Helsinki","Kruununhaka","","Ruokakaupat"
"4878","K-market","Siltavoudintie 19","00640","Helsinki","Patola","","Ruokakaupat"
"4879","K-market","Liisankatu 19","00170","Helsinki","Kruununhaka","","Ruokakaupat"
"4880","K-market","Aino Ackten tie 8","00400","Helsinki","Pohjois-Haaga","","Ruokakaupat"
"4881","K-market","Asematunneli 1","00100","Helsinki","Etu-Töölö","","Ruokakaupat"
"4882","K-market","Pietarinkatu 5","00140","Helsinki","Ullanlinna","","Ruokakaupat"
"4883","K-market","Kuvernöörintie 6","00840","Helsinki","Yliskylä","","Ruokakaupat"
"4884","K-market","Hietalahdenranta 6","00120","Helsinki","Punavuori","","Ruokakaupat"
"5146","K-market","Kielotie 29","01300","Vantaa","Hiekkaharju","","Ruokakaupat"
"5147","K-market","Marsinrinne 8","01480","Vantaa","Mikkola","","Ruokakaupat"
"5148","K-market","Haarikkotie 1","01350","Vantaa","Hiekkaharju","","Ruokakaupat"
"5149","K-market","Nietostie 19","01390","Vantaa","Ilola","","Ruokakaupat"
"5150","K-market","Koivumäentie 20","01230","Vantaa","Vaarala","","Ruokakaupat"
"5151","K-market","Naapurinkuja 2","01670","Vantaa","Vantaanlaakso","","Ruokakaupat"
"5152","K-market","Itäinen Valkoisenlähteentie 19","01260","Vantaa","Kuninkaanmäki","","Ruokakaupat"
"5153","K-market","Halmekuja 1","01360","Vantaa","Tapanila","","Ruokakaupat"
"5154","K-market","Uomatie 15","01600","Vantaa","Myyrmäki","","Ruokakaupat"
"5155","K-market","Tikkurilantie 46","01300","Vantaa","Tikkurila","","Ruokakaupat"
"5156","K-market","Rekolantie 53-55","01400","Vantaa","Rekola","","Ruokakaupat"
"5157","K-market","Otavantie 14","01450","Vantaa","Metsola","","Ruokakaupat"
"5175","K-market Lounasasema","Ratapihantie 6","00520","Helsinki","Itä-Pasila","","Ruokakaupat"
"5176","K-market Ruokakippari","Laivalahdenkaari 29","00810","Helsinki","Herttoniemenranta","","Ruokakaupat"
"5178","K-rauta","Nimismiehenpelto 3","02770","Espoo","Muurala","","Rautakaupat"
"5179","K-rauta","Isonniitynkuja 2","02270","Espoo","Eestinmalmi","","Rautakaupat"
"5181","K-rauta","Varikkotie 2","00880","Helsinki","Roihupelto","","Rautakaupat"
"5182","K-rauta","Itämerenkatu 21","00180","Helsinki","Ruoholahti","","Rautakaupat"
"5183","K-rauta","Käskynhaltijantie 10","00640","Helsinki","Patola","","Rautakaupat"
"5217","K-rauta","Silvastintie 2","01510","Vantaa","Pakkala","","Rautakaupat"
"5218","K-rauta","Vanha Porvoontie 243","01380","Vantaa","Hakkila","","Rautakaupat"
"5226","K-Supermarket","Sinikalliontie 1","02630","Espoo","Taavinkylä","","Ruokakaupat"
"5227","K-Supermarket","Konstaapelinkatu 4","02650","Espoo","Pohjois-Leppävaara","","Ruokakaupat"
"5228","K-supermarket","Kilonpuistonkatu 14","02610","Espoo","Nuijala","","Ruokakaupat"
"5229","K-supermarket","Kylänportti 16","02940","Espoo","Järvenperä","","Ruokakaupat"
"5230","K-supermarket","Soukantie 16","02360","Espoo","Soukanmäki","","Ruokakaupat"
"5231","K-supermarket","Kamreerintie 3","02770","Espoo","Suvela","","Ruokakaupat"
"5232","K-supermarket","Malminkorpi 2","02280","Espoo","Malminmäki","","Ruokakaupat"
"5242","K-Supermarket","Hämeentie 111","00560","Helsinki","Toukola","","Ruokakaupat"
"5243","K-Supermarket","Hiihtäjäntie 2","00810","Helsinki","Länsi-Herttoniemi","","Ruokakaupat"
"5244","K-Supermarket","Keinulaudankuja 4","00940","Helsinki","Kontula","","Ruokakaupat"
"5245","K-Supermarket","Yliskyläntie 3","00840","Helsinki","Yliskylä","","Ruokakaupat"
"5246","K-Supermarket","Kiviaidankatu 2","00210","Helsinki","Lauttasaari","","Ruokakaupat"
"5247","K-Supermarket","Pallaksentie 2","00970","Helsinki","Mellunmäki","","Ruokakaupat"
"5248","K-Supermarket","Raumantie 1","00350","Helsinki","Munkkivuori","","Ruokakaupat"
"5249","K-Supermarket","Mäkitorpantie 1","00620","Helsinki","Patola","","Ruokakaupat"
"5250","K-Supermarket","Kiviparintie 2","00920","Helsinki","Myllypuro","","Ruokakaupat"
"5251","K-supermarket","Kaisaniemenkatu 5","00100","Helsinki","Kluuvi","","Ruokakaupat"
"5252","K-supermarket","Haastemiehentie 1","00690","Helsinki","Torpparinmäki","","Ruokakaupat"
"5253","K-supermarket","Eliel Saarisen tie 5","00400","Helsinki","Pohjois-Haaga","","Ruokakaupat"
"5254","K-supermarket","Urho Kekkosen katu 1 A 24","00100","Helsinki","Kamppi","","Ruokakaupat"
"5255","K-supermarket","Ajomiehentie 1","00390","Helsinki","Konala","","Ruokakaupat"
"5408","K-Supermarket","Peltolantie 1","01300","Vantaa","Viertola","","Ruokakaupat"
"5409","K-Supermarket","Paarmatie 2","01490","Vantaa","Nikinmäki","","Ruokakaupat"
"5410","K-Supermarket","Ulkoniitynkuja 4","01660","Vantaa","Varisto","","Ruokakaupat"
"5411","K-Supermarket","Ainontie 1","01630","Vantaa","Hämeenkylä","","Ruokakaupat"
"5412","K-supermarket","Lammaslammentie 9","01710","Vantaa","Hämeenkylä","","Ruokakaupat"
"5413","K-supermarket","Minkkikuja 4","01450","Vantaa","Metsola","","Ruokakaupat"
"5414","K-supermarket","Louhelantie 3","01600","Vantaa","Myyrmäki","","Ruokakaupat"
"5415","K-supermarket","Laajavuorenkuja 2","01620","Vantaa","Martinlaakso","","Ruokakaupat"
"5416","K-supermarket","Kuriiritie 23-25","01300","Vantaa","Koivuhaka","","Ruokakaupat"
"5417","K-supermarket","Laukkarinne 4","01200","Vantaa","Hakunila","","Ruokakaupat"
"5427","K-Supermarket Seilori","Espoonlahdenkatu 4","02320","Espoo","Espoonlahti","","Ruokakaupat"
"5428","Kaakaopuu","Urho Kekkosen katu 10","00100","Helsinki","Kamppi","","Muut"
"5431","Kaartin Kotikauppa","Korkeavuorenkatu 19","00130","Helsinki","Ullanlinna","","Ruokakaupat"
"5436","Kahvila Camppi","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kahvilat"
"5439","Kahvila Villa Ullas","Kallvikinniementie 6","00980","Helsinki","Rastila","","Kahvilat"
"5442","Kahvila-Ravintola Hansini","Aurinkotuulenkatu 14","00990","Helsinki","Aurinkolahti","","Kahvilat"
"5443","Kahvila-Ravintola Nuppu","Läntinen Brahenkatu 12","00510","Helsinki","Harju","","Kahvilat"
"5451","Kaivokukka","Piispansilta 11","02230","Espoo","Matinkylä","","Kukkakaupat"
"5452","Kaivokukka","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Kukkakaupat"
"5453","Kaivokukka","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kukkakaupat"
"5454","Kaivokukka","Rautatientorin Metroasema","00100","Helsinki","Kluuvi","","Kukkakaupat"
"5455","Kaivokukka","Viikintori 3","00790","Helsinki","Viikin tiedepuisto","","Kukkakaupat"
"5456","Kaivopuiston apteekki","Neitsytpolku 10","00140","Helsinki","Ullanlinna","","Apteekit"
"5460","Kakkugalleria","Fredrikinkatu 41","00120","Helsinki","Kamppi","","Leipomot"
"5461","Kakkugalleria","Bulevardi 34","00120","Helsinki","Kamppi","","Leipomot"
